country_name,total_count,topic,num_tweets_used,sent_index_e,sent_index_u,sent_index_c,sent_index_o,sent_index_a,rank,country,happiness2021,happiness2020,pop2022
Bangladesh,36,elon,18,1.777777778,-2.459016393,-0.6666666667,-1.833333333,-0.02777777778,99,Bangladesh,5.025,4.833,167885.689
Denmark,11,elon,4,1.5,-1.53125,-0.2916666667,1.142857143,1.321428571,2,Denmark,7.62,7.646,5834.95
Estonia,3,elon,1,-2,-0.987804878,-0.3333333333,0,-1,39,Estonia,6.189,6.022,1321.91
Ethiopia,11,elon,5,1.2,-1.871794872,0.1904761905,1.4,1.3,130,Ethiopia,4.275,4.186,120812.698
France,55,elon,24,-0.5833333333,-0.5666666667,-0.578125,-0.972972973,-0.7781531532,21,France,6.69,6.664,65584.518
Greece,22,elon,18,2.5,-0.7096774194,-2.064516129,-1,0.75,67,Greece,5.723,5.515,10316.637
India,100,elon,44,0.6818181818,-0.6086956522,-1.28125,-0.21875,0.2315340909,136,India,3.819,3.573,1406631.776
Indonesia,100,elon,74,1.783783784,-1.205128205,-0.1607142857,0.3571428571,1.07046332,80,Indonesia,5.345,5.286,279134.505
Kenya,98,elon,38,1.026315789,-1.830985915,-0.6923076923,-0.5818181818,0.2222488038,119,Kenya,4.607,4.583,56215.221
Lebanon,8,elon,5,2.2,-1.541666667,-1,-2.333333333,-0.06666666667,121,Lebanon,4.584,4.772,6684.849
Mexico,60,elon,28,0.2857142857,-0.6290322581,-0.3243243243,-0.7333333333,-0.2238095238,35,Mexico,6.317,6.465,131562.772
Pakistan,100,elon,60,2.85,-1.085365854,-0.5555555556,-0.8965517241,0.9767241379,103,Pakistan,4.934,5.693,229488.994
Poland,16,elon,8,-2.375,-0.5428571429,-1.740740741,-1.714285714,-2.044642857,43,Poland,6.166,6.186,37739.785
Portugal,35,elon,20,1.4,-0.6231884058,0.1343283582,-1.59375,-0.096875,57,Portugal,5.929,5.911,10140.57
South Korea,7,elon,4,-0.5,-3.804123711,0.5945945946,-3,-1.75,61,South Korea,5.845,5.872,51329.899
Spain,72,elon,42,-0.09523809524,-0.3835616438,-0.9032258065,-1.228571429,-0.6619047619,27,Spain,6.491,6.401,46719.142
Sweden,38,elon,21,-0.9047619048,-1.5,-1.340909091,-1.5,-1.202380952,7,Sweden,7.363,7.353,10218.971
Turkey,100,elon,54,0.962962963,-1.709090909,0.4333333333,1.0625,1.012731481,102,Turkey,4.948,5.132,85561.976
United Kingdom,100,elon,67,-0.5074626866,-1.119047619,-1.102564103,-1.637931034,-1.072696861,17,United Kingdom,7.064,7.165,68497.907
United States,100,elon,67,0.3731343284,-1.583333333,-0.7419354839,-0.7173913043,-0.172128488,19,United States of America,6.951,6.94,334805.269